Facility/Operator,Location,Year,Quarter,Gamma Radiation,Reported Unit,Comment
Nine Mile Point Site,Lakeview Road,2015,3rd,,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2015,2nd,583,mrem/quarter,
Ginna Station,Training Center,2010,3rd,22,mrem/quarter,
Ginna Station,Training Center,2015,4th,,mrem/quarter,
Ginna Station,Training Center,2015,1st,45,mrem/quarter,
Ginna Station,Training Center,2015,3rd,,mrem/quarter,
Ginna Station,Training Center,2015,2nd,,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2015,1st,,mrem/quarter,
West Valley Site,Fox Valley Road,2007,2nd,27.7,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2015,3rd,,mrem/quarter,
West Valley Site,Rock Spring Road,2015,1st,,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2015,3rd,,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2015,2nd,,mrem/quarter,
West Valley Site,Rock Spring Road,2015,4th,,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2015,4th,,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2015,4th,,mrem/quarter,
West Valley Site,Springville- Erie County,2015,1st,,mrem/quarter,
West Valley Site,Springville- Erie County,2015,4th,,mrem/quarter,
West Valley Site,Rock Spring Road,2015,2nd,,mrem/quarter,
West Valley Site,Dutch Hill Road,2002,2nd,14.5,mrem/quarter,
Ginna Station,Parking Lot,2015,4th,,mrem/quarter,
Ginna Station,Webster Sub-Station,2012,3rd,18,mrem/quarter,
West Valley Site,Rock Spring Road,2015,3rd,,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2015,1st,,mrem/quarter,
Indian Point, Broadway & Bleakly,2006,1st,20.9,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2015,4th,14,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2015,1st,367,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2015,4th,29,mrem/quarter,
Ginna Station,Webster Sub-Station,2015,2nd,,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2006,2nd,25.3,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2015,4th,550,mrem/quarter,
West Valley Site,Springville- Erie County,2015,3rd,,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2015,1st,22,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2003,3rd,12.6,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2016,1st,397,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2016,1st,,mrem/quarter,
Background,Capital District,2015,2nd,,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2016,1st,,mrem/quarter,
Background,Captial District,2016,1st,,mrem/quarter,
Background,Capital District,2015,4th,,mrem/quarter,
Ginna Station,Webster Sub-Station,2016,1st,,mrem/quarter,
Indian Point, Factory St. Sub-Station,2016,1st,,mrem/quarter,
Background,Capital District,2015,3rd,,mrem/quarter,
Indian Point, NYU Tower,2016,3rd,,mrem/quarter,
Indian Point, Broadway & Bleakly,2016,4th,,mrem/quarter,
Background,Capital District,2015,1st,15,mrem/quarter,
Indian Point, Broadway & Bleakly,2016,3rd,,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2016,2nd,688,mrem/quarter,
Indian Point, Factory St. Sub-Station,2016,2nd,,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A (Lake Rd),2016,1st,,mrem/quarter,
Background,Capital District,2014,3rd,11,mrem/quarter,
Ginna Station,Parking Lot,2016,3rd,,mrem/quarter,
Indian Point, Broadway & Bleakly,2016,1st,46,mrem/quarter,
West Valley Site,Rock Spring Road,2016,4th,,mrem/quarter,
Ginna Station,Training Center,2016,2nd,,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2016,2nd,,mrem/quarter,
Background,Captial District,2016,3rd,,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2016,4th,,mrem/quarter,
Ginna Station,Parking Lot,2016,1st,,mrem/quarter,
Background,Captial District,2016,4th,,mrem/quarter,
West Valley Site,Springville- Erie County,2016,2nd,18,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2016,3rd,627,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2016,3rd,12,mrem/quarter,
Ginna Station,Training Center,2016,3rd,,mrem/quarter,
Ginna Station,Webster Sub-Station,2016,2nd,19,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A (Lake Rd),2016,4th,,mrem/quarter,
Indian Point, NYU Tower,2016,1st,,mrem/quarter,
West Valley Site,Rock Spring Road,2016,3rd,,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A (Lake Rd),2016,3rd,,mrem/quarter,
West Valley Site,Rock Spring Road,2016,1st,11,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2016,4th,,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2016,2nd,26,mrem/quarter,
Indian Point, NYU Tower,2016,4th,,mrem/quarter,
Background,Captial District,2016,2nd,,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2016,2nd,,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A (Lake Rd),2016,2nd,28,mrem/quarter,
West Valley Site,Springville- Erie County,2016,4th,,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2016,3rd,,mrem/quarter,
West Valley Site,Springville- Erie County,2016,1st,14,mrem/quarter,
Indian Point, Factory St. Sub-Station,2016,3rd,,mrem/quarter,
Ginna Station,Webster Sub-Station,2016,4th,,mrem/quarter,
Indian Point, NYU Tower,2016,2nd,,mrem/quarter,
Indian Point, Factory St. Sub-Station,2016,4th,,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2016,1st,,mrem/quarter,
Indian Point, Broadway & Bleakly,2016,2nd,,mrem/quarter,
Ginna Station,Parking Lot,2016,2nd,14,mrem/quarter,
West Valley Site,Springville- Erie County,2016,3rd,,mrem/quarter,
Ginna Station,Parking Lot,2016,4th,,mrem/quarter,
Ginna Station,Training Center,2016,1st,,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2016,4th,,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2016,3rd,,mrem/quarter,
West Valley Site,Rock Spring Road,2016,2nd,,mrem/quarter,
West Valley Site,Springville- Erie County,2017,2nd,14,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2017,4th,,mrem/quarter,
Ginna Station,Parking Lot,2017,4th,15,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A (Lake Rd),2017,4th,15,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2017,3rd,15,mrem/quarter,
Indian Point,NYU Tower,2017,4th,22,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2017,3rd,893,mrem/quarter,
West Valley Site,Rock Spring Road,2017,2nd,18,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2017,4th,,mrem/quarter,
Indian Point,Broadway & Bleakly,2017,3rd,18,mrem/quarter,
Background,Captial District,2017,3rd,19,mrem/quarter,
Background,Captial District,2017,1st,10,mrem/quarter,
Indian Point,White/Factory St. Sub-Station,2017,2nd,18,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2017,4th,14,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2017,1st,10,mrem/quarter,
West Valley Site,Rock Spring Road,2017,4th,21,mrem/quarter,
Ginna Station,Parking Lot,2017,1st,10,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2017,2nd,13,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A (Lake Rd),2017,2nd,14,mrem/quarter,
Indian Point,Broadway & Bleakly,2017,2nd,18,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2017,1st,10,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2017,3rd,18,mrem/quarter,
Ginna Station,Training Center,2017,4th,16,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2017,2nd,1208,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2017,2nd,15,mrem/quarter,
Ginna Station,Training Center,2017,1st,10,mrem/quarter,
Indian Point,NYU Tower,2017,1st,10,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2017,3rd,16,mrem/quarter,
Indian Point,Broadway & Bleakly,2017,4th,19,mrem/quarter,
Indian Point,White/Factory St. Sub-Station,2017,4th,19,mrem/quarter,
West Valley Site,Rock Spring Road,2017,3rd,21,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A (Lake Rd),2017,3rd,21,mrem/quarter,
Ginna Station,Webster Sub-Station,2017,2nd,13,mrem/quarter,
Indian Point,Broadway & Bleakly,2017,1st,10,mrem/quarter,
Ginna Station,Webster Sub-Station,2017,4th,18,mrem/quarter,
Ginna Station,Training Center,2017,2nd,17,mrem/quarter,
Indian Point,Factory St. Sub-Station,2017,1st,10,mrem/quarter,
Ginna Station,Parking Lot,2017,2nd,13,mrem/quarter,
Background,Captial District,2017,4th,20,mrem/quarter,
Ginna Station,Parking Lot,2017,3rd,16,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2017,1st,543,mrem/quarter,
Ginna Station,Webster Sub-Station,2017,3rd,18,mrem/quarter,
Background,Captial District,2017,2nd,16,mrem/quarter,
West Valley Site,Springville- Erie County,2017,4th,18,mrem/quarter,
West Valley Site,Springville- Erie County,2017,3rd,18,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2017,1st,10,mrem/quarter,
Indian Point,NYU Tower,2017,3rd,20,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2017,2nd,12,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A (Lake Rd),2017,1st,10,mrem/quarter,
West Valley Site,Springville- Erie County,2017,1st,10,mrem/quarter,
Indian Point,NYU Tower,2017,2nd,19,mrem/quarter,
West Valley Site,Rock Spring Road,2017,1st,10,mrem/quarter,
Indian Point,White/Factory St. Sub-Station,2017,3rd,19,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2017,4th,1028,mrem/quarter,
Ginna Station,Training Center,2017,3rd,20,mrem/quarter,
Ginna Station,Webster Sub-Station,2017,1st,10,mrem/quarter,
Indian Point,Broadway & Bleakly,2018,1st,19,mrem/quarter,
Indian Point,Broadway & Bleakly,2018,2nd,21,mrem/quarter,
Indian Point,Broadway & Bleakly,2018,3rd,,mrem/quarter,Lab counting error
Indian Point,Broadway & Bleakly,2018,4th,,mrem/quarter,Lab counting error
Indian Point,NYU Tower,2018,1st,20,mrem/quarter,
Indian Point,NYU Tower,2018,2nd,20,mrem/quarter,
Indian Point,NYU Tower,2018,3rd,,mrem/quarter,Lab counting error
Indian Point,NYU Tower,2018,4th,,mrem/quarter,
Indian Point,Factory St. Sub-Station,2018,1st,25,mrem/quarter,
Indian Point,White/Factory St. Sub-Station,2018,2nd,22,mrem/quarter,
Indian Point,White/Factory St. Sub-Station,2018,3rd,,mrem/quarter,Lab counting error
Indian Point,White/Factory St. Sub-Station,2018,4th,,mrem/quarter,Lab counting error
Background,Captial District,2018,1st,19,mrem/quarter,
Background,Captial District,2018,2nd,16,mrem/quarter,
Background,Captial District,2018,3rd,16,mrem/quarter,
Background,Captial District,2018,4th,10,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2018,1st,15,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2018,2nd,13,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2018,3rd,14,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2018,4th,15,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2018,1st,16,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2018,2nd,14,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2018,3rd,14,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2018,4th,16,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A (Lake Rd),2018,1st,16,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A (Lake Rd),2018,2nd,14,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A (Lake Rd),2018,3rd,18,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A (Lake Rd),2018,4th,16,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2018,1st,16,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2018,2nd,16,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2018,3rd,17,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2018,4th,20,mrem/quarter,
Ginna Station,Training Center,2018,1st,16,mrem/quarter,
Ginna Station,Training Center,2018,2nd,17,mrem/quarter,
Ginna Station,Training Center,2018,3rd,18,mrem/quarter,
Ginna Station,Training Center,2018,4th,18,mrem/quarter,
Ginna Station,Parking Lot,2018,1st,17,mrem/quarter,
Ginna Station,Parking Lot,2018,2nd,16,mrem/quarter,
Ginna Station,Parking Lot,2018,3rd,16,mrem/quarter,
Ginna Station,Parking Lot,2018,4th,16,mrem/quarter,
Ginna Station,Webster Sub-Station,2018,1st,17,mrem/quarter,
Ginna Station,Webster Sub-Station,2018,2nd,16,mrem/quarter,
Ginna Station,Webster Sub-Station,2018,3rd,19,mrem/quarter,
Ginna Station,Webster Sub-Station,2018,4th,17,mrem/quarter,
West Valley Site,Rock Spring Road,2018,1st,20,mrem/quarter,
West Valley Site,Rock Spring Road,2018,2nd,30,mrem/quarter,
West Valley Site,Rock Spring Road,2018,3rd,22,mrem/quarter,
West Valley Site,Rock Spring Road,2018,4th,20,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2018,1st,755,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2018,2nd,401,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2018,3rd,116,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2018,4th,62,mrem/quarter,
West Valley Site,Springville- Erie County,2018,1st,21,mrem/quarter,
West Valley Site,Springville- Erie County,2018,2nd,28,mrem/quarter,
West Valley Site,Springville- Erie County,2018,3rd,19,mrem/quarter,
West Valley Site,Springville- Erie County,2018,4th,16,mrem/quarter,
